,Index,data,labels
0,1285,Right now it's possible to define apps for websites using app URI handlers.,0
1,1041,What's the reason that currently Microsoft is blocking a price increase?,0
2,468,Unfortunately there are no more details available from the certification process.,0
3,1702,"""The default MenuFlyoutSubItem allows you to add subitems either through XAML or the Items code behind property.""",0
4,1445,"""I can verify that this works.""",0
5,1380_7,"""Also there is no support for storing certificates in certificate store using .NET code and located in the device.""",0
6,2591,will waste in performance.,0
7,1824,"""However if you make the parent visible binding will not be triggered and you must manually force an update to get bound values to appear.""",0
8,0_915,"""Many professional animation packages can import, edit and save directly in SMIL.""",0
9,0_1391,"""I notice that when viewing full articles, tumblr feeds work just great, EXCEPT for photosets.""",0
10,792_17,"""I found one interesting thing when I try to install my apps of 3 different types (WP Silverlight 8, WP Silverlight 8.1 and Universal App) to the SD card.""",0
11,2537,I moved from Saudi Arabia to Egypt and I can't add my new bank account in Egypt because country in account is Saudi Arabia,0
12,0_1317,"""Is this a recent change or something I've just seen ?	""",0
13,799_4,"""When you apply new policies on already existing, especially if it is related to name, all the existing credibility and market is lost.""",0
14,0_1653,"""Fix it if you can.""",0
15,2096,4) Before doing anything else click the Show touch keyboard button in the notification tray such that the touch keyboard appears.,0
16,1850_6,"""It literally takes hours, and it drives you crazy.""",0
17,1334_1,"""I think Microsoft provide Azure cloud computing free for developer.""",0
18,774_1,"""I've noticed it happens when the tile shows birthday events.""",0
19,3477,"""This affects many of the apps and in result the whole platform.""",0
20,151,"""They have a great launcher Cortana Outlook Office for mobile and so on.""",0
21,1243,Of course Version 1709 build 16299.214 can use the DAC.,0
22,851_2,"""We can open a pdf in webview by html file.But we cannot open pdf file from a url with .dpf extension.""",0
23,836_14,"""At home I use wifi.""",0
24,0_107,"""Now with Win10 Dashboard the stack trace only provide a snippet of the error which is included in the error lines.""",0
25,1864_13,"""When I see the Palm pre's multitask switch, I know there is something MS can do better.""",0
26,1715_3,"""Every time a microphone recording on HTC HD7 Windows Phone device is starting, a slight sound of ""bump"" is added to the recording stream.""",0
27,0_1969,"""Furthermore it'll have to be compatible with any RSS Feed i have in my list.""",0
28,2461,"""This seems a bad way to manage window size.""",0
29,1899,Things like MinConnectionInterval MaxConnectionInterval SlaveLatency and Connection Supervisory Timeout,0
30,0_93,"""Intuitively, if a user already knows the name of an app then it is likely that it is already fairly popular, and so would be ranked highly in search results without the algorithm favouring the app name.""",0
31,2839,The following will reliably throw some flavor of interop exception:,0
32,794_1,"""You can now only see the console (but you need to manually put things in console as it doesn't show errors), not even the DOM.""",0
33,1367_6,"""However, in order to be able to support *both* platforms, we are going to want some extensions on the WP7 side in order to support WP8 features that are not available on the older platform.""",0
34,0_1621,"""Not everybody uses the Gmail app as default... some others use CloudMagic, Mailbox, Inbox, K-9 and such_""",0
35,1552_8,"""BatterySaver controls are buried fairly deep in the Settings menu.""",0
36,0_348,"""I developed the app bizview, a Google Analytics client with the same features of Official Google Analytics app in the Android Store.


""",0
37,896_7,"""With an ISO14443 Smartcard support, you would be able to communicate with Smartcards like being used in public transport or supporting payment via NFC Credit Cards.""",0
38,2327,But I couldn't find any option in my dev center account to support this functionality.,0
39,1934,now after the great Windows 10 Fall Creators Update it is still a joke to switch and develop to UWP.,0
40,0_488,"""Kindly look into the issue.""",0
41,1975,"""This prevents reading things like altitude from the GPS location data.""",0
42,1902,I have no doubt it could be improved by community involvement.,0
43,692_2,"""Therefore it is for the app / game developer much more important to have a good fill rate.""",0
44,743,"""Normal mouses are working fine but 3D mouse such a SpaceNavigator from 3D Connexion is only able to zoom over RDC.""",0
45,0_138,"""Feel free to contact me if further info is required.""",0
46,0_1755,"""Now it shows 5 recent items which makes it unusable""",0
47,572,"""The new API for Windows 1803 to create DisplayMonitor instance always fails with ERROR_FILE_NOT_FOUND exception.""",0
48,9398,It's not healthy to keep several accounts that means nothing specially ones that you just had to create because you need to renew the subscription,0
49,796_8,"""The reason I removed the IAPs was to make the apps eligible for transfer.""",0
50,0_432,"""etc.""",0
51,2412,"""I add a CustomAudioEffect which is EQ (I've also tried using official UWP sample's EchoEffect) to MediaPlayer.""",0
52,0_1614,"""I was logging in using my google credentials.""",0
53,1485_11,"""Cuz when we navigate away from IE to an app, the back to IE, we can't navigate to the previous website.""",0
54,1007_1,"""Hi, I am a developer aplications, and even have done some projects for the university.""",0
55,1275,"""CalcBinding makes binding expressions shorter and more user-friendly.""",0
56,0_980,"""And I would gladly pay for that.Forcing a phone toy on my PC and forcing me to_____ more""""",0
57,964_6,"""We would like to make the enrollment process consistent for our users.""",0
58,574,"""Tested on two Windows 10 systems with 17134.48.""",0
59,1706_8,"""My votes show up on items I didn't Vote for and the only item (up til now) I submitted doesn't show up under my feedback.""",0
60,966_16,"""There are few websites with 2 letter domain name and IE doesn't store cookies for this domains.""",0
61,978_3,"""Ideally, this tool would show the developer all of the WP emulators on the machine (can be scoped to only those emulators in the standard directory; bonus points if able to add other directories for custom images) and allow the developer to select/check off those emulators that she wants shown int he 'device/emulator' drop-down box within Visual Studio.""",0
62,2580,A way to create the Voice Command Definition (VCD.xml) for Cortana using C#.,0
63,0_848,"""I understand that having a translation is important but I am not a linguist (I honestly think I learned_____ more""""",0
64,470,"""They build a package which fails without details and I can not download the build package for debugging.""",0
65,1277_12,"""When Skype replaces Messenger, don't forget wp7 users...background push messaging""",0
66,2500,Behind the portal the user could control which microphones the Lumia would use to circumvent the bug affecting the Lumias 930 Brazilians.,0
67,781_2,"""2) Mute option does not work smoothly.""",0
68,1314_1,"""Navigation uri doesn't work if the reminder/alarm ring under lockscreen""",0
69,1510_4,"""HTC surround HD""",0
70,1877,"""I reported that since studio 15.4.3 the designer crash due to attached properties""",0
71,3337,"""One of the problems I encounter is my inability to get Jack Info as in IKsJackDescription::GetJackDescription()""",0
72,1800_2,"""Otherwise I have to ask the user if they sent it (poor user experience).""",0
73,2506,"""Package acceptance validation error: You don't have permissions to specify the following namespaces in the appx manifest file of the package QYPlayer_1.1.0.0_x86.appx: http://schemas.microsoft.com/appx/manifest/foundation/windows10/restrictedcapabilities""",0
74,9112,We now need to add extra code to reposition it at the top after it has been loaded.,0
75,1792,"""Warning C6386""",0
76,973_3,"""I want to run the Windows Phone 8 Emulator in a virtual machine, but it failed.""",0
77,0_1439,"""http://getpocket.com/developer/docs/authentication""",0
78,1750_1,"""Otherwise we need to create our own control to scan an image and extract strings with an ocr library.""",0
79,1538_15,"""App Hub_____________________________________________________________________ _____________________________________""",0
80,980_6,"""Limiting the development environment to Windows 8 only limits my ability to develop for Windows Phone, and ultimately will pull down Microsoft.""",0
81,792,The reason why Button needs a Header Attribute is because if I make a grid of a TextBox with Header Field set and a place a button next to it... it looks likes like **** without the header padding to push the button down.,0
82,4268,"""MapControl always uses the Windows display language.""",0
83,0_615,"""It looks as if the return value of... Windows.System.Power.EnergySaverStatus ...is always 1, i.e. ""Off"".





Regardless of a threshold set in the energy saver settings.





Looks like a bug.





I'm using a Lumia 620 device with Windows 10 Mobile Build 10586.11.





Could someone please have a look into this Thanks!""""""""",0
84,114,"""now it's readonly""",0
85,1273_20,"""the phone jumps to other pages when I am scrolling up and down.""",0
86,3087,"""Currently I'm using only 2 texture formats:""",0
87,68,"""It's awkward to have different means of resizing objects.""",0
88,2872,"""It seems it's still not possible to submit Edge Extensions to the store.""",0
89,3169,"""Saw the same issue with client app in PackagedComServer sample with those 2 settings changed.""",0
90,1449_14,"""We get an answer back and know how devices are in the network.""",0
91,1063,Microsoft can set a Do while loop in its generic drivers Also,0
92,2701,"""The event args implementation correctly contains all the added items and the right indexes (all covered by unit tests).""",0
93,8773,For some reason entering a number with a * at the front in to the dialler task in an app in WP7.5 WP8.0 or WP8.1 results in the message Please enter service codes directly from the phone's keypad.,0
94,0_146,"""Fresh users are not affected by this issue.""",0
95,2859,"""But we turn the status bar back to visible along with other playback controls when the user taps the screen.""",0
96,6455,"""You cannot submit any app during this period.""",0
97,1738_1,"""Today, when users click a link in IE, most of the times you would get a message that this content type is not supported on phone.""",0
98,4405,"""The <li><table> tags are displayed very small in size.""",0
99,1460_2,"""But let us say I visited the bicycle page, from Google, and want to search for...sunglasses ...to buy when I go to town anyway....the search in IE is yet again the Bing thing.""",0
100,1368,"""In my case I'm writing an app where you learn how to spell and don't want to give the user any hints :-)""",0
101,1689_4,"""And the same problems apply if i am sending a mass message.""",0
102,1742_3,"""Currently I can READ this value but I cannot WRITE to it so that it syncs and updates the library on my PC from where the song came from.""",0
103,1864_9,"""Would be awesome if you could fix this :)""",0
104,1782_10,"""It is a common scenario in the ""real"" world, so why should it be impossible in the Marketplace?""",0
105,0_1545,"""It's been seen over time how simple barriers can stop people from doing activities that they want to do and that benefit them and others.""",0
